path,category,reasons,areas,rcs,is_dir
results,C-keep,,,0.2,yes
results_active_information_v15,C-keep,,800,0.05,yes
results_active_information_v15_system,C-keep,,800,0.05,yes
results_active_information_v15_system_smoke,U-unknown,,,,yes
results_active_system_15uav_10target_candidate2_screen,C-keep,,800,0.05,yes
results_active_system_15uav_10target_candidate3_screen,C-keep,,800,0.05,yes
results_active_system_15uav_10target_candidate4_screen,C-keep,,800,0.05,yes
results_active_system_15uav_10target_candidate5_screen,C-keep,,800,0.05,yes
results_active_system_15uav_10target_candidate6_screen,C-keep,,800,0.05,yes
results_active_system_15uav_10target_fusion_crn_fix_screen,C-keep,,800,0.05,yes
results_active_system_15uav_10target_multiseed_screen,C-keep,,800,0.05,yes
results_active_system_15uav_10target_screen,C-keep,,800,0.05,yes
results_active_system_v15,C-keep,,800,0.05,yes
results_active_system_v15_smoke,U-unknown,,,,yes
results_canonical_check,B-out-of-band,area:4000; rcs:50,4000,50,yes
results_coord_600m_g0k60,U-unknown,,,,yes
results_coord_600m_g15k40,A-hardware-gain,hw:dir_name_gain_db=15,,,yes
results_coord_600m_g5k40,A-hardware-gain,hw:dir_name_gain_db=5,,,yes
results_coord_800m_g0k60,U-unknown,,,,yes
results_coordination_600m_rcs0.1,U-unknown,,,,yes
results_coordination_800m_rcs0.05,U-unknown,,,,yes
results_coordination_smoke,U-unknown,,,,yes
results_crn_check,B-out-of-band,area:4000; rcs:50,4000,50,yes
results_crn_parallel_check,B-out-of-band,area:4000; rcs:50,4000,50,yes
results_fusion_headroom_v14_corr20,C-keep,,800,0.05,yes
results_fusion_headroom_v14_headroom3,C-keep,,800,0.05,yes
results_fusion_headroom_v14_mc10,C-keep,,800,0.05,yes
results_fusion_headroom_v14_mc10_cal16384,C-keep,,800,0.05,yes
results_fusion_headroom_v14_mc200,C-keep,,800,0.05,yes
results_fusion_headroom_v14_refine_fix,C-keep,,800,0.05,yes
results_fusion_headroom_v14_refine_fix_headroom_smoke,C-keep,,800,0.05,yes
